%eval_id	interface	vel____	theta__	A______	B______	n______	c______	s______	d______	pc_____	uc_____	k1_____	k2_____	k3_____	pl_____	ul_____	obj_fn
103	NO_ID	540.8166305	2.323081016	0.282677535	0.984932345	0.645002357	0.009934433	5.72603548	0.023222611	11454220.34	0.003269127	1163898951	5191300302	7731211911	166454374.7	0.34688921	488.0178
104	NO_ID	488.1414015	0.956094242	0.319543578	1.131161672	0.697870809	0.01026215	8.103349755	0.022880368	16427178.18	0.003954448	1222091976	4987393776	8694124855	149811985.2	0.336975654	431.3219
105	NO_ID	548.2667902	2.954761763	0.306751749	1.083500481	0.737697834	0.010182884	7.910223417	0.021565562	8672979.361	0.00561077	1250726156	4951250601	8304678592	158486465.6	0.352559727	493.1629
106	NO_ID	356.8729459	0.439826868	0.295115719	1.079731742	0.75850531	0.010780467	7.317014713	0.02257187	19308813.85	0.002205245	1221502955	4577220760	8445207711	147767131.9	0.341526449	299.242
107	NO_ID	385.6073617	1.62344278	0.298275175	1.054459745	0.707360593	0.011161022	5.188929345	0.020269079	7212047.626	0.005323796	1146061022	4942801330	7981717500	159146559.3	0.334046501	336.1941
108	NO_ID	574.2395423	3.370507973	0.32231219	0.994036457	0.647475085	0.010828013	7.180514313	0.023015707	12575274.84	0.003103598	1252021781	5429646405	7818901208	167303333.5	0.374721333	520.2721
109	NO_ID	341.9882374	2.905315664	0.277995486	1.100415527	0.689950235	0.010117936	9.013882871	0.020546924	14817083.74	0.006013277	1214888330	5243007313	8232884914	155767041.4	0.36673678	290.9793
110	NO_ID	645.0878121	0.377286647	0.285050743	0.981846545	0.731871392	0.010347465	5.514157714	0.022876152	13276149.47	0.00392891	1180420928	5416907929	9207487482	159342549.9	0.394109704	584.8982
111	NO_ID	322.4263146	2.191565827	0.305751187	0.965187156	0.703076778	0.009751757	5.692001495	0.022973235	6760056.545	0.004313147	1247582919	4805475886	8686238023	153743555.2	0.357932815	276.1412
112	NO_ID	520.8779469	1.569633509	0.288739249	1.171393934	0.759751409	0.010156395	5.138067727	0.022519927	5595088.462	0.005307467	1135487061	5152659567	8095238272	159231032.5	0.340877751	466.3552
113	NO_ID	688.049385	5.091798575	0.326283312	1.045834129	0.649318881	0.009905292	9.235197326	0.022601308	7073122.498	0.005634947	1196689195	5350617719	8882391882	171488942.8	0.36484067	629.1198
114	NO_ID	345.727123	3.76369806	0.273437536	1.117883507	0.628877598	0.010322196	7.998949876	0.020506464	14423822.97	0.004451307	1104311305	4720035823	9121861363	162864934.2	0.325173244	294.9526
115	NO_ID	421.6267874	2.604516398	0.320314522	1.061034416	0.705455854	0.011505187	7.702515102	0.020575162	12489721.18	0.005845002	1092621223	4702646248	8873763272	152428439.2	0.385510023	370.7181
116	NO_ID	351.4916572	5.958937695	0.297776488	1.150948102	0.670257087	0.011336316	5.665525167	0.023638446	18993798.97	0.005040343	1202260090	5347474551	8085946388	151123806.7	0.344023829	300.0323
117	NO_ID	446.232648	3.191759409	0.293092261	1.029697155	0.657925693	0.010387146	5.598324356	0.021325619	11604208.08	0.00217174	1079336438	4827299634	7835390198	169368966.3	0.382634922	397.4028
118	NO_ID	453.0374024	0.579146925	0.283998684	1.095471684	0.678363531	0.00973401	6.223718892	0.022860962	5209907.205	0.002048115	1045981340	4912927871	9064157860	142389873.5	0.334503428	401.8608
119	NO_ID	587.3384655	4.894761523	0.312608822	1.155629469	0.682955963	0.010687635	7.539470436	0.020142375	7477606.358	0.00439041	1223438840	4778863392	7807663489	150545874.5	0.351017804	531.2649
120	NO_ID	528.6407631	4.445028139	0.323780163	1.133289986	0.6630735	0.011261452	7.553860827	0.023400084	17258233.08	0.002811779	1131940635	5131133359	7790088000	153147836.7	0.34919171	473.7823
121	NO_ID	495.1389523	0.824994382	0.297306628	0.966191752	0.754217611	0.010954162	8.771573341	0.02111042	22541831.16	0.00238044	1153722212	5322004579	7935443383	155347888.3	0.377982588	439.2469
122	NO_ID	412.3568644	2.551503923	0.302344841	0.978748519	0.682696444	0.011566128	9.374125421	0.021717367	22504340.72	0.001279818	1227556501	4792544594	8150211812	158138370	0.345015139	360.8377
123	NO_ID	391.1932239	3.150548767	0.303966221	1.085697205	0.71410127	0.011345535	8.303104108	0.020126833	18005858.44	0.005300065	1138090462	5395151427	8765881292	142607947.4	0.335486775	339.5559
124	NO_ID	357.7659238	2.560688972	0.275461865	0.990373496	0.748107715	0.010062431	7.794275924	0.02150744	14527420.66	0.002283937	1064316439	5497577329	7990028772	157261364.7	0.369465258	310.3423
125	NO_ID	582.2076813	3.931557254	0.288904746	1.069203517	0.639345689	0.009944944	8.87237402	0.023358969	20830652.86	0.005733351	1148028564	5527661653	9095942863	161045800.4	0.362538218	525.458
126	NO_ID	725.0933491	2.488391637	0.299075342	0.996744376	0.687718007	0.010292349	6.769163955	0.023591201	7936445.728	0.004301292	1136018925	4685107244	8449386506	173048800.4	0.35896987	663.2837
127	NO_ID	697.5543383	1.849966246	0.298057458	1.151912809	0.751381051	0.011332719	8.488050099	0.022961008	6504678.094	0.004887323	1191407558	4816236295	7824476111	159651161.3	0.338267481	635.0191
128	NO_ID	523.3766434	2.327701169	0.299606229	1.064961362	0.712674021	0.010513196	8.884394539	0.020343357	10228368.85	0.002354275	1145393077	4628288167	8833076883	173271929.8	0.368148633	469.0564
129	NO_ID	649.646886	3.815379141	0.299714827	1.057060617	0.665139874	0.011228144	6.060781029	0.020768677	6152243.549	0.003863638	1189097520	5102720799	8428060080	148079356.9	0.371267057	593.0713
130	NO_ID	358.5986068	0.877982488	0.288003058	1.134022295	0.720004802	0.011489427	6.887806398	0.022637067	7268943.973	0.00597437	1204259572	4969854571	8074908002	164056621.5	0.329873833	305.7778
131	NO_ID	365.6357198	5.922072809	0.293774759	1.022097426	0.708120236	0.011401673	9.172178591	0.021021607	16630834.29	0.002450561	1056150024	5247014757	7879896409	172189970.6	0.352183228	318.4889
